,Binding Energy (kJ/mol/OSDA),Host,Guest SMILES,Guests/Cell,ID,Constant,Metric,Theory,Parent ID,Method
1280,-132.54381872020159,AFY,CCN(CC)CC,1,137441111,P,frz,FF,83496873,"FF (frz, P)"
1282,-132.5414664082007,AFI,C1COCCN1,1,137217003,P,frz,FF,83511765,"FF (frz, P)"
1293,-132.30328532691018,AFI,CN1CCNCC1,1,137443804,P,MD,FF,83542591,"FF (MD, P)"
1297,-132.18199268177952,LEV,C1CCCNCC1,5,137359324,V,MD,FF,87639940,"FF (MD, V)"
1301,-132.07974461281836,SFE,CN(C)c1ccncc1,1,137319235,V,opt,FF,83596186,"FF (opt, V)"
1302,-132.01009861726922,SFE,CN(C)c1ccncc1,1,137348885,V,frz,FF,83596187,"FF (frz, V)"
1311,-131.78515564641776,ATS,CC(C)NC(C)C,1,84770604,P,opt,DFT,83494313,"DFT (opt, P)"
1365,-130.76906974993068,SAS,NCCN,1,137245972,P,frz,FF,83595803,"FF (frz, P)"
1371,-130.5626365220827,AFI,C1CCNCC1,1,137440620,P,frz,FF,83522559,"FF (frz, P)"
1383,-130.23864269082839,RTH,CC(C)NC(C)C,1,137441120,P,frz,FF,83496951,"FF (frz, P)"
1400,-129.880044401047,MTW,C1CN2CCN1CC2,1,124153622,P,opt,DFT,83497317,"DFT (opt, P)"
1402,-129.85031952654717,JSW,C1CN2CCN1CC2,3,137336451,V,frz,FF,87646614,"FF (frz, V)"
1405,-129.8051148695951,JRY,CCNCC,1,137330393,V,opt,FF,83511738,"FF (opt, V)"
1416,-129.55888142083384,GME,NCCNCCNCCN,1,137370007,V,MD,FF,83494328,"FF (MD, V)"
1471,-128.27077739600574,AFI,N[C@H]1CC[C@H](N)CC1,1,137368674,V,frz,FF,83514924,"FF (frz, V)"
1492,-127.90557758090726,SFE,CN(C)c1ccncc1,1,148085638,V,opt,DFT,83596187,"DFT (opt, V)"
1500,-127.72495149542516,SAS,NCCN,1,137245972,P,MD,FF,83595803,"FF (MD, P)"
1506,-127.64912105862277,CHA,CC(C)NC(C)C,2,137447001,V,frz,FF,87638359,"FF (frz, V)"
1519,-127.29221785502558,CHA,C1CCNC1,3,137440760,P,frz,FF,87647694,"FF (frz, P)"
1526,-127.20877220798432,CHA,CC(C)NC(C)C,2,137447001,V,opt,FF,87638359,"FF (opt, V)"
1531,-127.10676310778798,AFI,C[C@@H](CN)CCCN,1,137442361,V,frz,FF,83492533,"FF (frz, V)"
1534,-127.05396923750692,RTH,CC(C)NC(C)C,1,137321168,V,frz,FF,83496951,"FF (frz, V)"
1538,-127.00598226566335,OFF,CCN(C(C)C)C(C)C,1,137336452,V,opt,FF,87640751,"FF (opt, V)"
1547,-126.84350474478278,SAS,NCCN,2,137231988,P,MD,FF,83595804,"FF (MD, P)"
1548,-126.7996300854811,SOD,c1c[nH]cn1,2,137441129,P,opt,FF,83497240,"FF (opt, P)"
1551,-126.73754094693409,AEL,CC(C)NC(C)C,1,137327818,V,MD,FF,87639867,"FF (MD, V)"
1557,-126.6815571450478,OWE,C[C@H](N)CN,1,137442352,V,frz,FF,83490422,"FF (frz, V)"
1573,-126.33130194052004,SFN,C1CCCNCCC1,2,84796242,P,opt,DFT,83492141,"DFT (opt, P)"
1576,-126.27877147514543,AFI,C1CN2CCN1CC2,1,147629130,P,opt,DFT,83524050,"DFT (opt, P)"
1578,-126.21903548639604,RTE,C1C[C@H]2CC[C@@H]1CNC2,1,86329513,P,opt,DFT,83596145,"DFT (opt, P)"
1585,-126.07331902054183,OWE,C[C@@H](N)CN,2,137448838,V,frz,FF,83490423,"FF (frz, V)"
1588,-126.04494823705188,JSW,C1CN2CCN1CC2,4,137345992,V,frz,FF,87646616,"FF (frz, V)"
1600,-125.81199384921062,AFI,C1CNCCNC1,1,84926511,P,opt,DFT,83511547,"DFT (opt, P)"
1605,-125.71131528153006,RTH,CC(C)NC(C)C,2,137441124,P,frz,FF,83496956,"FF (frz, P)"
1612,-125.65350320997351,RTE,C1C[C@H]2CC[C@@H]1CNC2,1,148085657,V,opt,DFT,83596145,"DFT (opt, V)"
1622,-125.39056721630172,CHA,C1CNCCN1,2,137440881,P,frz,FF,87638300,"FF (frz, P)"
1632,-125.29766632992376,AFI,C1CN2CCN1CC2,1,137335778,V,opt,FF,83524052,"FF (opt, V)"
1643,-125.07979669758633,GME,NCCNCCNCCN,1,137370007,V,opt,FF,83494328,"FF (opt, V)"
1644,-125.0680626358918,CHA,CCN(C(C)C)C(C)C,2,129273358,P,opt,DFT,87638165,"DFT (opt, P)"
1656,-124.92347939007762,CHA,C1COCCN1,2,137440748,P,frz,FF,87647601,"FF (frz, P)"
1657,-124.88331014095121,BEC,CN(C)CCN(C)C,1,137327920,V,frz,FF,83525944,"FF (frz, V)"
1668,-124.72017952286132,SOD,c1c[nH]cn1,1,147622482,P,opt,DFT,83497236,"DFT (opt, P)"
1670,-124.71004952954745,RTE,N[C@@H]1C[C@H]2CC[C@@H]1C2,1,148085651,V,opt,DFT,83518459,"DFT (opt, V)"
1671,-124.69538762095513,RTE,N[C@@H]1C[C@H]2CC[C@@H]1C2,1,86550735,P,opt,DFT,83518459,"DFT (opt, P)"
